epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.7076,1.55785,4.31249,1.52163,0.00817,0.33333,0.02613,0.02091,1.52444,4.47648,1.30513,6.25e-06,6.25e-06,6.25e-06
2,10.7885,1.51628,4.16766,1.52553,0.01077,0.33333,0.04592,0.03674,1.48109,4.46356,1.3,1.85644e-05,1.85644e-05,1.85644e-05
3,15.7178,1.2106,4.13585,1.29794,0.01494,0.33333,0.09799,0.07839,1.44226,4.45388,1.26548,3.06313e-05,3.06313e-05,3.06313e-05
4,20.5004,1.22781,4.20567,1.31967,0.00117,0.16667,0.16583,0.13267,1.3075,4.46865,1.207,4.24506e-05,4.24506e-05,4.24506e-05
5,25.3784,1.30575,4.19197,1.2504,0.00129,0.16667,0.16583,0.13267,1.32757,4.45164,1.202,5.40225e-05,5.40225e-05,5.40225e-05
6,30.3667,1.35698,4.07222,1.28224,0.00256,0.25,0.16667,0.13313,1.30486,4.4386,1.18677,6.53469e-05,6.53469e-05,6.53469e-05
7,35.3155,1.22439,3.91203,1.19851,0.003,0.25,0.16667,0.13312,1.27382,4.43026,1.15161,7.64237e-05,7.64237e-05,7.64237e-05
8,40.1856,1.27582,3.82117,1.37578,0.00356,0.25,0.16655,0.13317,1.21998,4.4289,1.13495,8.72531e-05,8.72531e-05,8.72531e-05
9,45.104,1.2396,3.85732,1.19768,0.01872,0.41667,0.18324,0.14809,1.2056,4.43674,1.12682,9.7835e-05,9.7835e-05,9.7835e-05
10,50.0304,1.24739,3.71448,1.22901,0.01897,0.41667,0.18348,0.14823,1.2207,4.42653,1.14108,0.000108169,0.000108169,0.000108169
11,54.9039,1.34311,3.58732,1.40836,0.02119,0.41667,0.18586,0.15021,1.22407,4.40542,1.14749,0.000118256,0.000118256,0.000118256
12,59.6986,1.30307,3.66162,1.18727,0.0198,0.41667,0.18667,0.15094,1.25968,4.37903,1.15944,0.000128096,0.000128096,0.000128096
13,64.532,1.11372,3.27647,1.18217,0.01879,0.41667,0.19012,0.15382,1.23637,4.34089,1.12058,0.000137688,0.000137688,0.000137688
14,69.4565,1.1387,3.34115,1.19686,0.0202,0.47222,0.19992,0.14496,1.23928,4.30193,1.13557,0.000147032,0.000147032,0.000147032
15,74.2398,1.14903,3.15851,1.1613,0.02029,0.47222,0.20162,0.14607,1.20468,4.22036,1.12396,0.000156129,0.000156129,0.000156129
16,79.0458,1.15,3.07166,1.17457,0.01928,0.47222,0.21775,0.1579,1.12642,4.19166,1.10788,0.000164978,0.000164978,0.000164978
17,83.8784,0.98905,2.80543,1.11168,0.01773,0.47222,0.23591,0.16808,1.09075,4.16052,1.11846,0.00017358,0.00017358,0.00017358
18,88.7219,1.15519,2.95016,1.15062,0.01679,0.47222,0.24421,0.17838,1.04927,4.13692,1.10693,0.000181934,0.000181934,0.000181934
19,93.4102,0.86531,3.04471,1.0843,0.01965,0.47222,0.24055,0.17865,1.03405,4.11536,1.10258,0.000190041,0.000190041,0.000190041
20,98.1133,1.05745,2.7478,1.11884,0.01974,0.52778,0.26809,0.20347,1.02802,4.0848,1.10652,0.000197901,0.000197901,0.000197901
21,102.799,0.96415,2.40914,1.09268,0.70436,0.16667,0.29151,0.22362,1.00934,4.06951,1.11275,0.000205513,0.000205513,0.000205513
22,107.556,1.05096,2.3214,1.12887,0.01797,0.52778,0.32555,0.24807,0.98991,4.06415,1.10885,0.000212877,0.000212877,0.000212877
23,112.427,1.08015,2.49776,1.08006,0.02008,0.69444,0.46923,0.35568,1.00961,4.01223,1.08971,0.000219994,0.000219994,0.000219994
24,117.254,1.12648,2.4266,1.16313,0.0216,0.69444,0.46694,0.35039,1.04443,3.96878,1.09015,0.000226863,0.000226863,0.000226863
25,121.977,0.89184,2.20251,1.06739,0.92795,0.16667,0.47522,0.36312,1.08404,3.93275,1.08834,0.000233485,0.000233485,0.000233485
26,126.641,1.15702,2.25379,1.25005,0.94507,0.16667,0.46694,0.3623,1.11243,3.90036,1.08967,0.000239859,0.000239859,0.000239859
27,131.304,1.14631,2.39213,1.23916,0.97192,0.16667,0.38405,0.2877,1.14026,3.83488,1.09449,0.000245986,0.000245986,0.000245986
28,135.905,0.96865,2.26072,1.12372,0.97192,0.16667,0.38405,0.2877,1.14026,3.83488,1.09449,0.000251866,0.000251866,0.000251866
29,140.543,1.11123,2.31139,1.20242,0.98181,0.16667,0.563,0.38312,1.14986,3.79969,1.1067,0.000257498,0.000257498,0.000257498
30,145.217,1.05747,1.99075,1.10508,0.98821,0.16667,0.54699,0.35395,1.13487,3.75297,1.1179,0.000262882,0.000262882,0.000262882
