epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.30029,1.68416,4.25582,1.55332,0.00046,0.16667,0.09045,0.01635,1.65776,4.18437,1.79323,0.09604,4e-05,4e-05
2,12.4386,1.61401,4.04707,1.6654,0.00076,0.14583,0.00629,0.00311,1.86382,4.13409,2.03374,0.0910896,8.95545e-05,8.95545e-05
3,18.6518,1.73215,3.7842,1.66747,0.00083,0.16667,0.01198,0.00751,1.95402,4.15809,2.14756,0.0861386,0.000138614,0.000138614
4,24.9835,1.36563,3.62561,1.43841,0.00068,0.14583,0.03419,0.01356,2.05083,4.19124,2.18707,0.0811872,0.000187178,0.000187178
5,31.5052,1.62774,3.44831,1.55926,0.00064,0.14583,0.08736,0.03752,2.06567,4.19306,2.12506,0.0762352,0.000235248,0.000235248
6,37.8733,1.37058,3.18481,1.36142,0.00058,0.14583,0.08527,0.04207,2.02525,4.15103,2.01832,0.0712828,0.000282823,0.000282823
7,44.1704,1.39184,3.16334,1.42367,0.03387,0.1875,0.12453,0.08018,1.99857,4.11427,1.9389,0.0663299,0.000329902,0.000329902
8,50.5015,1.4658,3.11206,1.4484,0.01904,0.1875,0.08251,0.05902,2.01529,4.09881,1.94116,0.0613765,0.000376486,0.000376486
9,56.6595,1.5493,2.90943,1.47914,0.02169,0.20139,0.10224,0.07597,1.8865,3.9499,1.7766,0.0564226,0.000422576,0.000422576
10,63.2911,1.39708,2.92004,1.4511,0.0234,0.27778,0.16784,0.12463,1.7451,3.83622,1.70184,0.0514682,0.00046817,0.00046817
11,69.5121,1.53485,3.12109,1.54575,0.04871,0.44444,0.28039,0.2138,1.58411,3.67597,1.63927,0.0465133,0.00051327,0.00051327
12,75.6489,1.44224,2.73444,1.41819,0.03066,0.40278,0.28575,0.2199,1.60067,3.55405,1.60674,0.0415579,0.000557874,0.000557874
13,81.7148,1.27162,2.61294,1.33359,0.03066,0.40278,0.28575,0.2199,1.60067,3.55405,1.60674,0.036602,0.000601984,0.000601984
14,87.7552,1.35111,2.82625,1.42421,0.51513,0.10417,0.30909,0.21706,1.63503,3.50991,1.60985,0.0316456,0.000645599,0.000645599
15,93.8,1.37002,2.73305,1.37972,0.50261,0.19697,0.34024,0.25199,1.64047,3.4422,1.68416,0.0266887,0.000688718,0.000688718
16,99.7893,1.43707,2.69854,1.47008,0.50261,0.19697,0.34024,0.25199,1.64047,3.4422,1.68416,0.0217313,0.000731343,0.000731343
17,105.874,1.29931,2.60093,1.37968,0.6206,0.25007,0.34069,0.24707,1.58531,3.29972,1.63132,0.0167735,0.000773472,0.000773472
18,111.799,1.33789,2.70854,1.37189,0.6206,0.25007,0.34069,0.24707,1.58531,3.29972,1.63132,0.0118151,0.000815107,0.000815107
19,117.799,1.46288,2.53938,1.45978,0.65982,0.26213,0.36223,0.25959,1.70081,3.19765,1.68669,0.00685625,0.000856246,0.000856246
